1,AAPL,Apple Inc.,1,aapl,,9
2,MSFT,Microsoft Corporation,1,msft,,9
3,AMZN,Amazon.com Inc.,1,amzn,,9
4,NVDA,NVIDIA Corporation,1,nvda,,9
5,GOOGL,Alphabet Inc. Class A,1,googl,,1
6,GOOG,Alphabet Inc. Class C,1,goog,,9
7,BRK-B,Berkshire Hathaway Inc. Class B,1,brk-b,,9
8,TSLA,Tesla Inc.,1,tsla,,9
9,META,Meta Platforms Inc. Class A,1,meta,,9
10,UNH,UnitedHealth Group Incorporated,1,unh,,9
11,XOM,Exxon Mobil Corporation,1,xom,,8
12,JNJ,Johnson & Johnson,1,jnj,,5
13,JPM,JPMorgan Chase & Co.,1,jpm,,8
14,V,Visa Inc. Class A,1,v,,6
15,PG,Procter & Gamble Company,1,pg,,9
16,MA,Mastercard Incorporated Class A,1,ma,,7
17,HD,Home Depot Inc.,1,hd,,12
18,CVX,Chevron Corporation,1,cvx,,9
19,ABBV,AbbVie Inc.,1,abbv,,4
20,MRK,Merck & Co. Inc.,1,mrk,,1
21,AVGO,Broadcom Inc.,1,avgo,,4
22,LLY,Eli Lilly and Company,1,lly,,7
23,PEP,PepsiCo Inc.,1,pep,,1
24,KO,Coca-Cola Company,1,ko,,9
25,PFE,Pfizer Inc.,1,pfe,,9
26,TMO,Thermo Fisher Scientific Inc.,1,tmo,,8
27,COST,Costco Wholesale Corporation,1,cost,,1
28,CSCO,Cisco Systems Inc.,1,csco,,4
29,BAC,Bank of America Corp,1,bac,,7
30,MCD,McDonald's Corporation,1,mcd,,6
31,WMT,Walmart Inc.,1,wmt,,9
32,CRM,Salesforce Inc.,1,crm,,1
33,DIS,Walt Disney Company,1,dis,,3
34,ABT,Abbott Laboratories,1,abt,,9
35,ADBE,Adobe Incorporated,1,adbe,,2
36,LIN,Linde plc,1,lin,,6
37,DHR,Danaher Corporation,1,dhr,,8
38,ACN,Accenture Plc Class A,1,acn,,8
39,TXN,Texas Instruments Incorporated,1,txn,,3
40,VZ,Verizon Communications Inc.,1,vz,,12
41,NKE,NIKE Inc. Class B,1,nke,,2
42,CMCSA,Comcast Corporation Class A,1,cmcsa,,2
43,AMD,Advanced Micro Devices Inc.,1,amd,,2
44,NEE,NextEra Energy Inc.,1,nee,,9
45,PM,Philip Morris International Inc.,1,pm,,4
46,WFC,Wells Fargo & Company,1,wfc,,7
47,RTX,Raytheon Technologies Corporation,1,rtx,,6
48,BMY,Bristol-Myers Squibb Company,1,bmy,,6
49,QCOM,QUALCOMM Incorporated,1,qcom,,5
50,UPS,United Parcel Service Inc. Class B,1,ups,,2
